 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.15E+06 1.04E-11 5.57E-12 4.57E-10 4.54E-18 2.10E-02 4.34E-26 3.32E-26 2.06E-17 8.37E-16 1.48E-15 4.52E-25 4.31E-04
  5.55E+06 1.10E-11 1.72E-12 4.61E-10 6.33E-19 2.10E-02 2.37E-25 1.62E-25 2.92E-17 1.06E-15 1.24E-15 1.46E-24 4.31E-04
  5.95E+06 1.14E-11 5.35E-13 4.62E-10 7.31E-20 2.10E-02 8.92E-25 5.92E-25 3.56E-17 1.26E-15 1.03E-15 3.68E-24 4.30E-04
  6.35E+06 1.30E-11 1.90E-13 4.61E-10 5.23E-21 2.10E-02 1.85E-24 1.44E-24 4.72E-17 1.43E-15 8.41E-16 7.91E-24 4.30E-04
  6.75E+06 1.61E-11 7.64E-14 4.58E-10 2.45E-22 2.10E-02 2.44E-24 2.77E-24 7.10E-17 1.54E-15 6.97E-16 1.44E-23 4.28E-04
  7.15E+06 2.40E-11 9.46E-15 4.49E-10 1.29E-24 2.10E-02 5.00E-25 1.02E-24 3.94E-16 1.30E-15 5.93E-16 2.21E-23 4.26E-04
  7.55E+06 6.61E-11 5.13E-15 4.06E-10 9.61E-29 2.09E-02 1.40E-27 1.64E-26 1.10E-15 6.60E-16 5.11E-16 3.54E-24 4.23E-04
  7.95E+06 1.19E-10 3.06E-15 3.52E-10 2.81E-30 2.05E-02 1.99E-30 9.47E-28 1.30E-15 5.08E-16 4.35E-16 6.72E-25 4.19E-04
  8.35E+06 1.66E-10 1.66E-15 3.02E-10 1.79E-31 1.98E-02 1.12E-32 1.08E-28 1.47E-15 3.61E-16 3.63E-16 1.76E-25 4.12E-04
  8.75E+06 2.04E-10 6.61E-16 2.59E-10 8.23E-33 1.85E-02 2.04E-34 1.64E-29 1.60E-15 2.09E-16 2.94E-16 5.09E-26 4.00E-04
  9.15E+06 2.31E-10 1.91E-16 2.22E-10 2.20E-34 1.66E-02 2.67E-36 2.84E-30 1.64E-15 9.81E-17 2.23E-16 1.49E-26 3.80E-04
  9.55E+06 2.43E-10 4.63E-17 1.93E-10 5.52E-36 1.41E-02 6.66E-38 5.62E-31 1.54E-15 3.99E-17 1.50E-16 4.46E-27 3.47E-04
  9.95E+06 2.38E-10 9.75E-18 1.72E-10 1.40E-37 1.15E-02 3.48E-39 1.24E-31 1.33E-15 1.63E-17 8.53E-17 1.33E-27 3.01E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 6.29E-11
  1.50E+05 7.68E-11
  2.50E+05 1.06E-10
  3.50E+05 1.44E-10
  7.50E+05 3.11E-10
  1.15E+06 4.72E-10
  1.55E+06 5.46E-10
  1.95E+06 3.52E-10
  2.35E+06 2.26E-10
  2.75E+06 1.56E-10
  3.15E+06 1.01E-10
  3.55E+06 5.91E-11
  3.95E+06 3.17E-11
  4.35E+06 1.56E-11
  4.75E+06 6.84E-12
  5.15E+06 2.45E-12
  5.55E+06 6.89E-13
  5.95E+06 1.41E-13
  6.35E+06 1.89E-14
  6.75E+06 1.36E-15
  7.15E+06 4.10E-17
  7.55E+06 1.12E-19
  7.95E+06 1.25E-24
  8.35E+06 3.30E-34
  8.75E+06 3.41E-53
  9.15E+06 1.76E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
