 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000000E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25802E-01  ERR= 2.35764E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   1.25E+06 4.13-141 1.59E-05 2.43E-07 3.92E-05 4.95E-08 4.44E-03 7.88E-05 5.85E-06 1.09E-06 1.17E-05 2.98E-08
   1.55E+06 8.27E-97 2.66E-05 3.24E-07 5.44E-05 1.10E-07 4.71E-03 1.45E-04 6.81E-06 1.34E-06 1.45E-05 3.94E-08
   1.85E+06 6.13E-65 3.39E-05 3.65E-07 6.28E-05 1.98E-07 4.91E-03 1.91E-04 7.29E-06 1.51E-06 1.57E-05 4.76E-08
   2.15E+06 2.72E-43 3.75E-05 3.92E-07 6.78E-05 3.21E-07 5.06E-03 2.15E-04 7.64E-06 1.66E-06 1.64E-05 5.54E-08
   2.45E+06 2.26E-29 3.96E-05 4.13E-07 7.14E-05 4.77E-07 5.16E-03 2.28E-04 7.92E-06 1.80E-06 1.69E-05 6.28E-08
   2.75E+06 1.37E-20 4.09E-05 4.31E-07 7.42E-05 6.57E-07 5.23E-03 2.37E-04 8.16E-06 1.92E-06 1.74E-05 6.99E-08
   3.05E+06 4.39E-15 4.17E-05 4.46E-07 7.64E-05 8.41E-07 5.27E-03 2.42E-04 8.37E-06 2.02E-06 1.78E-05 7.66E-08
   3.35E+06 1.20E-11 4.21E-05 4.59E-07 7.82E-05 1.01E-06 5.29E-03 2.46E-04 8.55E-06 2.12E-06 1.82E-05 8.29E-08
   3.65E+06 1.66E-09 4.24E-05 4.71E-07 7.97E-05 1.17E-06 5.31E-03 2.48E-04 8.71E-06 2.21E-06 1.86E-05 8.91E-08
   3.95E+06 3.53E-08 4.26E-05 4.81E-07 8.09E-05 1.30E-06 5.32E-03 2.50E-04 8.87E-06 2.29E-06 1.89E-05 9.53E-08
   4.25E+06 2.36E-07 4.28E-05 4.90E-07 8.20E-05 1.41E-06 5.33E-03 2.51E-04 9.01E-06 2.36E-06 1.93E-05 1.01E-07
