 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.028627576680302E-008
 Standard CH3CL flux =  0.000E+00

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.879E+02
 N= 4     X= 1.56520E-01  ERR= 4.16746E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


   5.00E+04 0.00E+00 8.00E-06 4.05E-08 7.79E-06 7.46E-11 3.01E-03 2.98E-05 1.78E-06 1.38E-07 5.58E-06 1.93E-09
   3.50E+05 0.00E+00 9.92E-06 5.49E-08 1.05E-05 3.62E-10 3.45E-03 3.74E-05 2.22E-06 2.00E-07 6.36E-06 3.23E-09
   6.50E+05 0.00E+00 1.14E-05 7.32E-08 1.37E-05 1.35E-09 3.82E-03 4.42E-05 2.71E-06 2.80E-07 7.12E-06 1.28E-07
   9.50E+05 2.86-189 1.31E-05 9.75E-08 1.78E-05 4.01E-09 4.14E-03 5.27E-05 3.27E-06 3.79E-07 8.06E-06 7.30E-09
   1.25E+06 3.48-111 1.45E-05 1.24E-07 2.21E-05 1.06E-08 4.46E-03 6.02E-05 3.81E-06 4.91E-07 8.83E-06 1.01E-08
   1.55E+06 4.90E-72 1.67E-05 1.59E-07 2.79E-05 2.53E-08 4.72E-03 7.35E-05 4.43E-06 6.21E-07 1.00E-05 1.35E-08
   1.85E+06 1.23E-47 2.19E-05 2.08E-07 3.67E-05 5.48E-08 4.92E-03 1.05E-04 5.18E-06 7.80E-07 1.18E-05 1.79E-08
   2.15E+06 2.10E-32 2.76E-05 2.54E-07 4.54E-05 1.05E-07 5.07E-03 1.41E-04 5.79E-06 9.38E-07 1.31E-05 2.29E-08
   2.45E+06 7.34E-23 3.22E-05 2.92E-07 5.25E-05 1.84E-07 5.17E-03 1.71E-04 6.28E-06 1.10E-06 1.40E-05 2.87E-08
   2.75E+06 7.43E-17 3.56E-05 3.24E-07 5.83E-05 2.92E-07 5.23E-03 1.94E-04 6.71E-06 1.26E-06 1.47E-05 3.53E-08
   3.05E+06 4.67E-13 3.81E-05 3.53E-07 6.31E-05 4.22E-07 5.28E-03 2.11E-04 7.09E-06 1.41E-06 1.54E-05 4.27E-08
