 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-005  CO2 =   4.000000000000000E-004
 
    CH4 =   2.590435860605555E-009
 Standard CH3CL flux =  2.800E+08

 PO2= 7.417E-04  PNO= 2.805E-03  ZAPNO= 2.964E+02
 N= 3     X= 1.22526E-01  ERR= 5.46052E-08

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   1.55E+06 5.04E-48 3.63E-05 4.12E-07 7.00E-05 2.00E-07 4.74E-03 2.08E-04 7.95E-06 1.82E-06 1.69E-05 6.43E-08
   1.85E+06 2.37E-32 3.95E-05 4.33E-07 7.39E-05 3.22E-07 4.94E-03 2.28E-04 8.20E-06 1.94E-06 1.75E-05 7.15E-08
   2.15E+06 1.49E-22 4.15E-05 4.49E-07 7.68E-05 4.82E-07 5.08E-03 2.40E-04 8.41E-06 2.05E-06 1.79E-05 7.81E-08
   2.45E+06 2.02E-16 4.28E-05 4.62E-07 7.90E-05 6.70E-07 5.18E-03 2.49E-04 8.59E-06 2.14E-06 1.83E-05 8.44E-08
   2.75E+06 1.38E-12 4.37E-05 4.73E-07 8.07E-05 8.69E-07 5.25E-03 2.54E-04 8.75E-06 2.23E-06 1.87E-05 9.05E-08
   3.05E+06 3.50E-10 4.43E-05 4.83E-07 8.21E-05 1.06E-06 5.29E-03 2.58E-04 8.90E-06 2.31E-06 1.90E-05 9.66E-08
   3.35E+06 1.12E-08 4.47E-05 4.91E-07 8.33E-05 1.23E-06 5.31E-03 2.61E-04 9.03E-06 2.38E-06 1.93E-05 1.02E-07
   3.65E+06 9.88E-08 4.49E-05 4.99E-07 8.43E-05 1.37E-06 5.33E-03 2.63E-04 9.14E-06 2.44E-06 1.96E-05 1.07E-07
   3.95E+06 3.85E-07 4.51E-05 5.05E-07 8.51E-05 1.49E-06 5.34E-03 2.64E-04 9.24E-06 2.49E-06 1.99E-05 1.12E-07
   4.25E+06 8.99E-07 4.52E-05 5.10E-07 8.57E-05 1.58E-06 5.35E-03 2.65E-04 9.31E-06 2.54E-06 2.01E-05 1.16E-07
