 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.693080771062091E-007
 Standard CH3CL flux =  2.920E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35661E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   4.55E+06 8.98E-09 2.41E-09 8.57E-10 3.23E-09 1.58E-06 7.36E-04 4.01E-03 5.89E-05 4.76E-05 4.17E-05 3.80E-04
   4.85E+06 1.23E-08 7.93E-09 9.61E-10 5.21E-09 2.33E-06 7.38E-04 4.02E-03 5.91E-05 4.76E-05 4.17E-05 3.82E-04
   5.15E+06 1.64E-08 1.99E-08 1.05E-09 7.25E-09 3.08E-06 7.38E-04 4.02E-03 5.93E-05 4.77E-05 4.18E-05 3.84E-04
   5.45E+06 2.14E-08 4.18E-08 1.14E-09 9.38E-09 3.80E-06 7.39E-04 4.03E-03 5.94E-05 4.77E-05 4.18E-05 3.85E-04
   5.75E+06 2.68E-08 7.95E-08 1.21E-09 1.20E-08 4.46E-06 7.39E-04 4.03E-03 5.95E-05 4.77E-05 4.18E-05 3.85E-04
   6.05E+06 3.22E-08 1.43E-07 1.27E-09 1.57E-08 5.08E-06 7.39E-04 4.03E-03 5.95E-05 4.77E-05 4.18E-05 3.86E-04
   6.35E+06 3.72E-08 2.54E-07 1.32E-09 2.17E-08 5.66E-06 7.40E-04 4.03E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   6.65E+06 4.13E-08 4.54E-07 1.36E-09 3.21E-08 6.17E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   6.95E+06 4.42E-08 7.70E-07 1.39E-09 4.91E-08 6.62E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   7.25E+06 4.61E-08 1.17E-06 1.40E-09 7.10E-08 6.98E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
