 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
  INITIAL MIXING RATIO OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  79.5   6.78E-14 7.02E-14 7.02E-14 3.18E-11 3.90E-09 1.30E-11 5.28E-14 2.50E-14 2.66E-17 5.32E-17
  81.5   2.59E-14 2.16E-14 2.16E-14 1.09E-11 3.55E-09 1.12E-12 1.13E-14 6.24E-15 3.16E-18 6.32E-18
  83.5   8.96E-15 1.10E-14 1.10E-14 2.76E-12 3.14E-09 4.84E-14 1.32E-15 1.29E-15 2.16E-19 4.31E-19
  85.5   3.08E-15 7.70E-15 7.70E-15 6.52E-13 2.72E-09 1.20E-14 2.77E-16 2.67E-16 1.49E-20 2.98E-20
  87.5   1.07E-15 6.16E-15 6.16E-15 1.68E-13 2.34E-09 6.22E-15 6.47E-17 5.55E-17 1.05E-21 2.10E-21
  89.5   3.71E-16 5.35E-15 5.35E-15 5.02E-14 2.01E-09 3.67E-15 1.60E-17 1.16E-17 7.53E-23 1.51E-22
  91.5   1.30E-16 4.91E-15 4.91E-15 1.80E-14 1.73E-09 2.17E-15 3.67E-18 2.42E-18 5.55E-24 1.11E-23
  93.5   4.58E-17 4.62E-15 4.62E-15 7.73E-15 1.52E-09 1.32E-15 8.68E-19 5.12E-19 4.24E-25 8.48E-25
  95.5   1.64E-17 4.39E-15 4.39E-15 3.96E-15 1.36E-09 8.25E-16 2.10E-19 1.09E-19 3.43E-26 6.86E-26
  97.5   6.23E-18 4.18E-15 4.18E-15 2.46E-15 1.26E-09 5.33E-16 5.13E-20 2.42E-20 3.06E-27 6.11E-27
  99.5   3.14E-18 3.94E-15 3.94E-15 1.93E-15 1.22E-09 3.58E-16 1.31E-20 7.23E-21 3.78E-28 7.57E-28
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
 
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
   0.5   1.13E-14 7.40E-17 1.85E-17 4.20E-01 4.73E-20 5.52E-11 8.77E-12 6.16E-14 8.00E-04
   1.5   1.31E-14 1.53E-16 3.83E-17 4.20E-01 7.24E-20 9.46E-11 1.75E-11 7.57E-14 8.09E-04
   2.5   1.63E-14 3.52E-16 8.81E-17 4.20E-01 1.09E-19 1.29E-10 2.74E-11 8.81E-14 8.18E-04
   3.5   2.00E-14 8.69E-16 2.17E-16 4.20E-01 1.65E-19 1.60E-10 3.71E-11 1.03E-13 8.27E-04
   5.5   2.44E-14 4.42E-15 1.10E-15 4.20E-01 3.90E-19 2.21E-10 5.32E-11 1.48E-13 8.43E-04
   7.5   2.11E-14 1.19E-14 2.98E-15 4.20E-01 8.66E-19 2.79E-10 5.78E-11 2.17E-13 8.55E-04
   9.5   1.99E-14 4.43E-14 1.11E-14 4.20E-01 1.68E-18 2.84E-10 5.22E-11 2.33E-13 8.62E-04
  11.5   2.26E-14 2.02E-13 5.04E-14 4.20E-01 5.97E-19 1.31E-10 2.53E-11 4.40E-14 8.62E-04
  13.5   3.43E-14 6.71E-13 1.68E-13 4.20E-01 2.63E-20 2.82E-11 3.90E-12 1.97E-15 8.62E-04
  15.5   7.83E-14 3.55E-12 8.88E-13 4.20E-01 1.06E-21 3.40E-12 3.39E-13 2.80E-17 8.62E-04
  17.5   1.85E-13 1.45E-11 3.63E-12 4.20E-01 4.96E-22 3.54E-13 3.02E-14 2.27E-19 8.62E-04
  19.5   3.82E-13 3.89E-11 9.72E-12 4.20E-01 2.85E-22 3.67E-14 3.17E-15 1.41E-21 8.63E-04
  21.5   7.06E-13 7.54E-11 1.89E-11 4.20E-01 1.39E-22 4.11E-15 5.23E-16 8.02E-24 8.63E-04
  23.5   1.24E-12 1.23E-10 3.08E-11 4.20E-01 6.01E-23 4.96E-16 1.05E-15 3.99E-26 8.63E-04
  25.5   2.06E-12 1.79E-10 4.48E-11 4.20E-01 2.50E-23 6.36E-17 1.91E-15 1.66E-28 8.63E-04
  27.5   3.26E-12 2.38E-10 5.95E-11 4.20E-01 1.20E-23 1.02E-17 2.02E-15 4.66E-30 8.63E-04
  29.5   4.76E-12 2.69E-10 6.72E-11 4.20E-01 1.70E-23 5.27E-18 2.03E-15 4.76E-30 8.64E-04
  31.5   6.13E-12 2.32E-10 5.81E-11 4.20E-01 6.10E-23 7.54E-18 2.02E-15 1.28E-29 8.64E-04
  33.5   6.88E-12 1.46E-10 3.65E-11 4.20E-01 2.06E-22 1.20E-17 2.01E-15 3.09E-29 8.64E-04
  35.5   6.61E-12 6.63E-11 1.66E-11 4.20E-01 5.49E-22 1.84E-17 2.00E-15 5.66E-29 8.64E-04
  37.5   5.42E-12 2.21E-11 5.53E-12 4.20E-01 1.22E-21 2.67E-17 1.98E-15 7.98E-29 8.64E-04
  39.5   3.77E-12 5.23E-12 1.31E-12 4.20E-01 2.46E-21 3.85E-17 1.95E-15 9.71E-29 8.64E-04
  41.5   2.17E-12 8.66E-13 2.16E-13 4.20E-01 4.94E-21 5.98E-17 1.91E-15 1.22E-28 8.64E-04
  43.5   1.08E-12 1.16E-13 2.90E-14 4.20E-01 1.00E-20 9.84E-17 1.83E-15 1.65E-28 8.64E-04
  45.5   5.11E-13 1.51E-14 3.77E-15 4.20E-01 1.90E-20 1.57E-16 1.71E-15 2.16E-28 8.64E-04
  47.5   2.39E-13 2.07E-15 5.19E-16 4.20E-01 3.26E-20 2.30E-16 1.56E-15 2.61E-28 8.63E-04
  49.5   1.14E-13 3.33E-16 8.32E-17 4.20E-01 5.66E-20 3.08E-16 1.40E-15 3.23E-28 8.63E-04
  51.5   5.50E-14 5.75E-17 1.44E-17 4.20E-01 9.31E-20 3.84E-16 1.25E-15 4.22E-28 8.63E-04
  53.5   2.76E-14 1.17E-17 2.91E-18 4.20E-01 1.62E-19 4.51E-16 1.11E-15 6.53E-28 8.62E-04
  55.5   1.44E-14 2.63E-18 6.57E-19 4.20E-01 2.81E-19 5.09E-16 9.93E-16 1.13E-27 8.62E-04
  57.5   7.82E-15 6.62E-19 1.65E-19 4.20E-01 4.75E-19 5.58E-16 8.91E-16 2.08E-27 8.62E-04
  59.5   4.55E-15 1.93E-19 4.83E-20 4.20E-01 7.91E-19 6.00E-16 8.04E-16 4.02E-27 8.61E-04
  61.5   2.86E-15 6.63E-20 1.66E-20 4.20E-01 1.30E-18 6.34E-16 7.32E-16 7.97E-27 8.61E-04
  63.5   2.12E-15 3.41E-20 8.52E-21 4.20E-01 2.69E-18 6.59E-16 6.72E-16 2.01E-26 8.61E-04
  65.5   1.36E-15 1.25E-20 3.13E-21 4.19E-01 3.64E-18 6.81E-16 6.23E-16 3.49E-26 8.60E-04
  67.5   9.93E-16 5.78E-21 1.44E-21 4.19E-01 5.52E-18 6.97E-16 5.81E-16 6.98E-26 8.60E-04
  69.5   7.60E-16 3.03E-21 7.58E-22 4.19E-01 7.78E-18 7.09E-16 5.46E-16 1.37E-25 8.59E-04
  71.5   5.75E-16 1.56E-21 3.89E-22 4.19E-01 9.98E-18 7.17E-16 5.16E-16 2.51E-25 8.58E-04
  73.5   3.89E-16 6.24E-22 1.56E-22 4.19E-01 1.19E-17 7.25E-16 4.89E-16 4.06E-25 8.58E-04
  75.5   2.28E-16 1.84E-22 4.60E-23 4.19E-01 1.41E-17 7.32E-16 4.62E-16 6.03E-25 8.56E-04
  77.5   1.14E-16 3.94E-23 9.84E-24 4.19E-01 1.74E-17 7.35E-16 4.34E-16 8.41E-25 8.55E-04
  79.5   5.26E-17 6.73E-24 1.68E-24 4.19E-01 2.01E-17 7.39E-16 4.07E-16 1.15E-24 8.52E-04
  81.5   8.20E-18 4.79E-25 1.20E-25 4.19E-01 6.09E-17 6.64E-16 3.80E-16 1.38E-24 8.49E-04
  83.5   3.71E-19 2.33E-26 5.83E-27 4.18E-01 1.57E-16 4.77E-16 3.54E-16 6.66E-25 8.45E-04
  85.5   7.13E-20 1.14E-27 2.84E-28 4.17E-01 2.30E-16 3.34E-16 3.27E-16 2.71E-25 8.40E-04
  87.5   2.63E-20 5.64E-29 1.41E-29 4.16E-01 2.72E-16 2.49E-16 3.01E-16 1.08E-25 8.33E-04
  89.5   1.09E-20 2.83E-30 7.08E-31 4.14E-01 2.98E-16 1.92E-16 2.74E-16 4.64E-26 8.23E-04
  91.5   4.38E-21 1.46E-31 3.64E-32 4.10E-01 3.13E-16 1.54E-16 2.46E-16 2.07E-26 8.11E-04
  93.5   1.82E-21 7.71E-33 1.93E-33 4.06E-01 3.21E-16 1.22E-16 2.17E-16 9.81E-27 7.94E-04
  95.5   7.85E-22 4.30E-34 1.07E-34 4.00E-01 3.23E-16 9.36E-17 1.87E-16 4.86E-27 7.72E-04
  97.5   3.49E-22 2.64E-35 6.60E-36 3.93E-01 3.18E-16 7.11E-17 1.57E-16 2.48E-27 7.44E-04
  99.5   1.60E-22 2.24E-36 5.60E-37 3.84E-01 3.05E-16 5.59E-17 1.27E-16 1.29E-27 7.09E-04
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
Alt(km)  HQO      HQONO2  
   0.5   1.49E-11 1.64E-13
   1.5   1.51E-11 4.15E-13
   2.5   1.51E-11 1.09E-12
   3.5   1.46E-11 2.93E-12
   5.5   1.22E-11 1.87E-11
   7.5   8.89E-12 5.32E-11
   9.5   6.06E-12 6.27E-11
  11.5   3.17E-12 4.26E-11
  13.5   1.83E-12 4.04E-11
  15.5   1.43E-12 6.42E-11
  17.5   1.81E-12 1.15E-10
  19.5   3.04E-12 1.87E-10
  21.5   6.04E-12 2.74E-10
  23.5   1.31E-11 3.67E-10
  25.5   2.78E-11 4.46E-10
  27.5   5.51E-11 4.93E-10
  29.5   9.92E-11 4.76E-10
  31.5   1.59E-10 3.77E-10
  33.5   2.26E-10 2.34E-10
  35.5   2.83E-10 1.14E-10
  37.5   3.26E-10 4.48E-11
  39.5   3.69E-10 1.47E-11
  41.5   4.20E-10 4.47E-12
  43.5   4.75E-10 1.38E-12
  45.5   5.20E-10 4.46E-13
  47.5   5.56E-10 1.51E-13
  49.5   5.94E-10 5.73E-14
  51.5   6.36E-10 2.29E-14
  53.5   6.92E-10 1.03E-14
  55.5   7.68E-10 4.98E-15
  57.5   8.80E-10 2.61E-15
  59.5   1.04E-09 1.52E-15
  61.5   1.27E-09 9.91E-16
  63.5   1.56E-09 8.10E-16
  65.5   2.00E-09 5.59E-16
  67.5   2.64E-09 4.55E-16
  69.5   3.69E-09 4.11E-16
  71.5   5.25E-09 3.64E-16
  73.5   7.15E-09 2.68E-16
  75.5   8.93E-09 1.54E-16
  77.5   1.01E-08 6.87E-17
  79.5   1.19E-08 2.66E-17
  81.5   4.75E-09 3.16E-18
  83.5   8.86E-10 2.16E-19
  85.5   2.46E-10 1.49E-20
  87.5   8.28E-11 1.05E-21
  89.5   3.22E-11 7.53E-23
  91.5   1.36E-11 5.55E-24
  93.5   6.20E-12 4.24E-25
  95.5   3.01E-12 3.43E-26
  97.5   1.53E-12 3.06E-27
  99.5   8.13E-13 3.78E-28
Alt(km)  HQO      HQONO2  
 
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
  USOL_HNO2 =  5.434315555997712E-014
  HELLO WORLD
