 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.053742436698481E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.777E+03
 N= 4     X= 1.56518E-01  ERR= 4.16788E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  5.95E+06 1.22E-11 5.21E-14 3.20E-10 3.19E-23 2.13E-03 6.35E-26 8.33E-26 5.82E-19 9.17E-18 3.87E-18 3.88E-25 4.26E-04
  6.35E+06 2.47E-11 6.90E-15 3.08E-10 2.26E-26 2.13E-03 2.45E-27 1.10E-26 4.14E-18 6.68E-18 2.75E-18 4.01E-25 4.21E-04
  6.75E+06 6.83E-11 4.61E-15 2.64E-10 4.40E-29 2.09E-03 8.86E-31 1.06E-28 6.16E-18 5.24E-18 2.11E-18 3.63E-26 4.16E-04
  7.15E+06 1.06E-10 2.53E-15 2.25E-10 1.93E-30 2.00E-03 1.12E-33 7.75E-30 6.69E-18 5.02E-18 1.73E-18 7.49E-27 4.11E-04
  7.55E+06 1.38E-10 1.14E-15 1.93E-10 1.06E-31 1.84E-03-4.23E-34 1.24E-30 8.05E-18 3.83E-18 1.45E-18 2.40E-27 4.05E-04
  7.95E+06 1.67E-10 4.29E-16 1.62E-10 5.63E-33 1.59E-03-1.77E-30 2.60E-31 9.52E-18 2.45E-18 1.20E-18 8.74E-28 3.96E-04
  8.35E+06 1.91E-10 1.33E-16 1.36E-10 2.83E-34 1.28E-03-5.84E-32 6.79E-32 1.06E-17 1.29E-18 9.81E-19 3.43E-28 3.83E-04
  8.75E+06 2.09E-10 3.53E-17 1.14E-10 1.36E-35 9.60E-04-6.82E-35 2.14E-32 1.11E-17 5.63E-19 7.77E-19 1.41E-28 3.65E-04
  9.15E+06 2.20E-10 8.26E-18 9.68E-11 6.25E-37 6.86E-04-7.55E-38 7.83E-33 1.09E-17 2.13E-19 5.83E-19 5.98E-29 3.40E-04
  9.55E+06 2.23E-10 1.76E-18 8.36E-11 2.76E-38 4.75E-04 2.72E-41 3.11E-33 1.01E-17 7.35E-20 4.01E-19 2.50E-29 3.08E-04
  9.95E+06 2.16E-10 3.40E-19 7.50E-11 1.19E-39 3.15E-04-9.82E-42 1.26E-33 8.85E-18 2.71E-20 2.42E-19 9.80E-30 2.68E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 8.56E-11
  1.50E+05 1.05E-10
  2.50E+05 1.44E-10
  3.50E+05 1.95E-10
  7.50E+05 4.04E-10
  1.15E+06 5.37E-10
  1.55E+06 5.14E-10
  1.95E+06 3.30E-10
  2.35E+06 2.15E-10
  2.75E+06 1.47E-10
  3.15E+06 9.32E-11
  3.55E+06 5.17E-11
  3.95E+06 2.50E-11
  4.35E+06 1.02E-11
  4.75E+06 3.42E-12
  5.15E+06 8.49E-13
  5.55E+06 1.53E-13
  5.95E+06 1.85E-14
  6.35E+06 1.35E-15
