 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.013654577153145E-008
 Low CH3CL flux      =  9.733E+06

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35642E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   4.85E+06 1.23E-08 7.92E-09 9.44E-10 5.36E-09 2.40E-06 7.22E-04 3.88E-03 5.25E-05 4.70E-05 4.15E-05 3.00E-04
   5.15E+06 1.63E-08 1.98E-08 1.02E-09 7.32E-09 3.11E-06 7.23E-04 3.89E-03 5.25E-05 4.70E-05 4.16E-05 3.00E-04
   5.45E+06 2.12E-08 4.17E-08 1.09E-09 9.42E-09 3.80E-06 7.23E-04 3.89E-03 5.26E-05 4.71E-05 4.16E-05 3.01E-04
   5.75E+06 2.67E-08 7.94E-08 1.16E-09 1.20E-08 4.46E-06 7.23E-04 3.89E-03 5.26E-05 4.71E-05 4.16E-05 3.01E-04
   6.05E+06 3.20E-08 1.43E-07 1.21E-09 1.57E-08 5.07E-06 7.24E-04 3.89E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   6.35E+06 3.69E-08 2.54E-07 1.26E-09 2.17E-08 5.64E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   6.65E+06 4.09E-08 4.54E-07 1.29E-09 3.21E-08 6.16E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   6.95E+06 4.38E-08 7.70E-07 1.32E-09 4.91E-08 6.60E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   7.25E+06 4.56E-08 1.17E-06 1.33E-09 7.10E-08 6.96E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   7.55E+06 4.67E-08 1.57E-06 1.34E-09 9.35E-08 7.23E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   7.85E+06 4.73E-08 1.91E-06 1.34E-09 1.13E-07 7.41E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   8.15E+06 4.75E-08 2.17E-06 1.35E-09 1.28E-07 7.53E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   8.45E+06 4.77E-08 2.33E-06 1.35E-09 1.38E-07 7.59E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   8.75E+06 4.77E-08 2.43E-06 1.35E-09 1.43E-07 7.63E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   9.05E+06 4.78E-08 2.48E-06 1.35E-09 1.46E-07 7.65E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   9.35E+06 4.78E-08 2.51E-06 1.35E-09 1.48E-07 7.66E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   9.65E+06 4.78E-08 2.52E-06 1.35E-09 1.49E-07 7.66E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04
   9.95E+06 4.78E-08 2.53E-06 1.35E-09 1.49E-07 7.67E-06 7.24E-04 3.90E-03 5.27E-05 4.71E-05 4.16E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 6.65E-06 1.02E-07 1.66E-05 3.64E-09 2.99E-03 2.92E-05 3.36E-06 5.05E-07 6.27E-06 1.12E-08
   3.50E+05 0.00E+00 7.84E-06 1.14E-07 1.85E-05 5.98E-09 3.44E-03 3.30E-05 3.61E-06 5.72E-07 6.57E-06 1.32E-08
   6.50E+05 0.00E+00 8.81E-06 1.27E-07 2.06E-05 1.02E-08 3.80E-03 3.67E-05 3.91E-06 6.55E-07 6.98E-06 1.28E-07
   9.50E+05 2.53-135 9.97E-06 1.49E-07 2.40E-05 1.83E-08 4.12E-03 4.24E-05 4.37E-06 7.74E-07 7.80E-06 1.96E-08
   1.25E+06 4.30E-77 1.27E-05 2.01E-07 3.21E-05 4.11E-08 4.44E-03 5.85E-05 5.29E-06 9.93E-07 9.92E-06 2.70E-08
   1.55E+06 1.14E-50 1.98E-05 2.87E-07 4.66E-05 9.89E-08 4.71E-03 1.02E-04 6.46E-06 1.27E-06 1.32E-05 3.74E-08
   1.85E+06 3.64E-34 2.89E-05 3.50E-07 5.87E-05 1.91E-07 4.91E-03 1.59E-04 7.17E-06 1.49E-06 1.52E-05 4.67E-08
   2.15E+06 7.87E-24 3.51E-05 3.86E-07 6.60E-05 3.16E-07 5.06E-03 1.98E-04 7.59E-06 1.65E-06 1.62E-05 5.49E-08
