 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  6.35E+06 2.15E-12 1.55E-09 9.50E-09 1.56E-11 2.51E-13 6.51E-14 3.39E-16 5.97E-16 4.98E-21 3.97E-21 3.26E-13 1.84E-13
  6.75E+06 1.53E-12 1.03E-09 8.26E-09 1.30E-11 1.25E-13 3.25E-14 1.71E-16 2.62E-16 7.17E-22 1.69E-22 3.09E-13 7.49E-14
  7.15E+06 8.39E-13 6.60E-10 7.47E-09 1.72E-11 8.58E-14 3.00E-14 1.66E-16 1.68E-16 2.41E-22 6.86E-24 2.98E-13 3.92E-14
  7.55E+06 4.19E-13 3.60E-10 6.92E-09 1.56E-11 5.03E-14 1.87E-14 9.35E-17 7.76E-17 4.01E-23 2.13E-25 2.89E-13 1.45E-14
  7.95E+06 1.39E-13 1.23E-10 6.19E-09 7.19E-12 2.52E-14 5.66E-15 2.27E-17 2.22E-17 2.27E-24 6.23E-27 2.81E-13 3.79E-15
  8.35E+06 3.06E-14 1.67E-11 4.91E-09 2.94E-14 7.08E-16 2.79E-16 1.45E-19 1.50E-19 6.50E-27 2.57E-28 2.73E-13 5.82E-18
  8.75E+06 1.73E-14 1.93E-12 3.59E-09 4.84E-15 3.99E-17 1.24E-17 7.34E-22 1.36E-20 1.56E-29 2.41E-29 2.63E-13 5.02E-20
  9.15E+06 1.33E-14 3.54E-13 2.60E-09 1.64E-15 2.18E-18 5.59E-19 4.08E-24 2.20E-21 4.05E-32 9.78E-31 2.50E-13 1.06E-21
  9.55E+06 1.16E-14 1.13E-13 1.99E-09 6.04E-16 1.17E-19 2.57E-20 2.77E-26 3.82E-22 1.26E-34 2.56E-32 2.31E-13 3.39E-23
  9.95E+06 1.04E-14 6.54E-14 1.75E-09 2.58E-16 6.92E-21 1.72E-21 3.61E-28 7.65E-23 7.85E-37 4.53E-34 2.05E-13 1.29E-24
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 6.02E-18 1.28E-14 6.32E-12 2.59E-13 2.10E-01 2.68E-12 4.47E-18 4.88E-20 3.30E-11 2.00E-12 8.78E-14 4.00E-04
  1.50E+05 8.26E-18 1.48E-14 9.33E-12 3.20E-13 2.10E-01 2.80E-12 5.07E-18 7.37E-20 5.87E-11 3.96E-12 1.11E-13 4.05E-04
  2.50E+05 1.11E-17 1.78E-14 1.31E-11 3.90E-13 2.10E-01 2.99E-12 5.75E-18 1.10E-19 8.26E-11 6.16E-12 1.31E-13 4.09E-04
  3.50E+05 1.48E-17 2.12E-14 1.71E-11 4.76E-13 2.10E-01 3.27E-12 6.46E-18 1.66E-19 1.06E-10 8.32E-12 1.55E-13 4.13E-04
  7.50E+05 3.39E-17 4.24E-14 3.12E-11 5.17E-13 2.10E-01 5.90E-12 1.00E-17 8.27E-19 1.97E-10 1.26E-11 3.24E-13 4.28E-04
  1.15E+06 6.72E-17 5.03E-14 3.63E-11 4.60E-13 2.10E-01 1.75E-12 2.43E-18 8.69E-19 1.25E-10 6.42E-12 1.13E-13 4.31E-04
  1.55E+06 1.09E-16 1.42E-13 7.75E-11 3.48E-12 2.10E-01 1.46E-14 3.40E-21 1.24E-20 1.53E-11 2.57E-13 7.88E-16 4.31E-04
  1.95E+06 5.01E-16 1.06E-12 1.43E-10 3.06E-11 2.10E-01 2.72E-17 4.30E-24 1.27E-20 9.51E-13 1.52E-14 5.48E-19 4.31E-04
  2.35E+06 2.29E-15 6.15E-12 1.64E-10 9.62E-11 2.10E-01 2.26E-20 6.76E-27 1.10E-20 5.93E-14 2.48E-15 2.56E-22 4.31E-04
  2.75E+06 9.82E-15 2.31E-11 1.45E-10 1.61E-10 2.10E-01 4.61E-24 4.40E-30 6.06E-21 3.65E-15 1.76E-14 4.43E-26 4.31E-04
  3.15E+06 4.70E-14 5.92E-11 1.35E-10 1.48E-10 2.10E-01 1.07E-28 2.26E-31 3.88E-21 3.63E-16 2.09E-14 5.48E-28 4.31E-04
  3.55E+06 2.53E-13 1.17E-10 1.64E-10 6.03E-11 2.10E-01 3.00E-29 2.92E-30 1.77E-20 4.55E-16 2.07E-14 1.42E-27 4.32E-04
  3.95E+06 1.09E-12 1.67E-10 2.02E-10 1.01E-11 2.10E-01 1.59E-28 3.85E-29 9.05E-20 1.02E-15 2.01E-14 3.20E-27 4.31E-04
  4.35E+06 3.35E-12 1.57E-10 2.67E-10 6.80E-13 2.10E-01 9.02E-28 3.92E-28 3.84E-19 2.46E-15 1.87E-14 5.69E-27 4.31E-04
  4.75E+06 6.76E-12 8.66E-11 3.65E-10 2.30E-14 2.10E-01 3.38E-27 2.12E-27 1.21E-18 5.12E-15 1.59E-14 7.90E-27 4.31E-04
  5.15E+06 9.54E-12 3.84E-11 4.19E-10 9.33E-16 2.10E-01 6.10E-27 5.20E-27 3.51E-18 8.15E-15 1.29E-14 1.14E-26 4.31E-04
  5.55E+06 1.18E-11 1.76E-11 4.39E-10 6.12E-17 2.10E-01 7.94E-27 8.74E-27 1.09E-17 1.07E-14 1.03E-14 2.88E-26 4.31E-04
  5.95E+06 1.36E-11 7.75E-12 4.48E-10 4.76E-18 2.10E-01 9.71E-27 1.35E-26 3.18E-17 1.25E-14 8.36E-15 9.40E-26 4.30E-04
  6.35E+06 1.49E-11 3.51E-12 4.51E-10 6.57E-19 2.10E-01 1.51E-26 2.38E-26 1.16E-16 1.37E-14 7.01E-15 4.50E-25 4.30E-04
  6.75E+06 1.54E-11 1.20E-12 4.52E-10 7.68E-20 2.10E-01 3.77E-26 5.85E-26 2.57E-16 1.45E-14 6.09E-15 1.67E-24 4.29E-04
  7.15E+06 1.46E-11 3.80E-13 4.54E-10 1.42E-20 2.10E-01 1.66E-25 2.30E-25 5.48E-16 1.48E-14 5.43E-15 7.38E-24 4.29E-04
  7.55E+06 1.43E-11 1.13E-13 4.54E-10 1.48E-21 2.10E-01 5.84E-25 8.66E-25 8.69E-16 1.49E-14 4.89E-15 2.12E-23 4.28E-04
  7.95E+06 1.60E-11 3.31E-14 4.52E-10 7.48E-23 2.09E-01 1.45E-24 3.55E-24 1.25E-15 1.49E-14 4.34E-15 4.74E-23 4.26E-04
  8.35E+06 3.72E-11 1.19E-14 4.29E-10 2.58E-26 2.09E-01 2.67E-26 1.38E-25 7.16E-15 9.23E-15 3.79E-15 1.88E-23 4.22E-04
  8.75E+06 7.92E-11 6.95E-15 3.84E-10 7.43E-29 2.08E-01 1.44E-28 5.79E-27 1.15E-14 4.91E-15 3.25E-15 3.48E-24 4.16E-04
  9.15E+06 1.21E-10 2.96E-15 3.38E-10 1.36E-30 2.06E-01 5.75E-31 4.59E-28 1.32E-14 2.95E-15 2.67E-15 7.30E-25 4.06E-04
  9.55E+06 1.51E-10 1.03E-15 2.97E-10 3.01E-32 2.01E-01 2.12E-33 5.51E-29 1.36E-14 1.78E-15 2.03E-15 1.78E-25 3.86E-04
  9.95E+06 1.61E-10 2.92E-16 2.70E-10 7.57E-34 1.95E-01 1.90E-35 8.65E-30 1.27E-14 1.08E-15 1.39E-15 4.76E-26 3.55E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 7.69E-11
  1.50E+05 9.36E-11
  2.50E+05 1.29E-10
  3.50E+05 1.73E-10
  7.50E+05 3.61E-10
  1.15E+06 5.09E-10
  1.55E+06 5.33E-10
  1.95E+06 3.48E-10
  2.35E+06 2.24E-10
  2.75E+06 1.52E-10
  3.15E+06 9.57E-11
  3.55E+06 5.35E-11
  3.95E+06 2.68E-11
  4.35E+06 1.21E-11
  4.75E+06 4.98E-12
  5.15E+06 1.86E-12
  5.55E+06 6.47E-13
  5.95E+06 2.04E-13
  6.35E+06 5.57E-14
  6.75E+06 1.19E-14
  7.15E+06 1.76E-15
  7.55E+06 7.98E-17
  7.95E+06 2.19E-19
  8.35E+06 2.05E-24
  8.75E+06 1.44E-34
  9.15E+06 2.21E-55
  9.55E+06 8.99E-98
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

